mereka melakukannya!	mereka tidak !
berbicara dengan tony	apakah tony salah satu hewanmu?
Tolong . . .	Terima kasih .
Bagaimana kalau kita ke ruang tamu?	Ya .
TIDAK .	dia adalah tuan torrance.
dia adalah tuan torrance.	WHO ?
WHO ?	seorang negro.
seorang negro.	seorang negro!
seorang negro!	seorang juru masak negro.
grady ?	ya pak.
tidak akan menahan Anda barang sejenak, Tuan.	Bagus .
tidak, kami tidak keberatan.	Bagus .
Bagus .	Kedengarannya bagus menurutmu, Danny?
senang bertemu denganmu winifred.	Senang bertemu dengan Anda .
eh dulunya guru sekolah.	Anda sekarang bekerja di bidang apa?
bill apa kabar ?	Senang bertemu dengan Anda.
Senang bertemu dengan Anda.	Senang bertemu dengan Anda.
gratis?	Uang Anda tidak ada gunanya di sini.
Senang bertemu denganmu.	Senang rasanya kembali lloyd.
Senang rasanya kembali lloyd.	Apa itu, Pak?
Bagaimana dengan kreditku di tempat ini?	Kredit Anda baik-baik saja, Tuan Torrance.
Saya akan membawa kembali seorang dokter.	...kalau ...
...kalau ...	aku akan pergi sekarang.
aku akan pergi sekarang.	...kalau ...
...kalau ...	pergilah .
pergilah .	berikan aku tongkatnya.
berikan aku tongkatnya.	pergilah .
pergilah .	berikan aku tongkatnya.
berikan aku tongkatnya.	pergi dariku .
menjauhlah dariku .	berikan aku tongkatnya.
berikan aku tongkatnya.	Jack menjauhlah dariku!
Jack menjauhlah dariku!	Berhenti mengayunkan tongkat pemukul.
Berhenti mengayunkan tongkat pemukul.	turun .
menjauhlah dariku! kumohon. . .	Berhenti mengayunkan tongkat pemukul.
Berhenti mengayunkan tongkat pemukul.	menjauhlah dariku .
menjauhlah dariku .	turunkan tongkatmu wendy.
turunkan tongkatmu wendy.	hentikan ini !
hentikan ini !	wendy berikan aku tongkat bisbol itu.
wendy berikan aku tongkat bisbol itu.	Tetaplah . . menjauhlah !
Tetaplah . . menjauhlah !	berikan aku tongkatnya.
menjauhlah dariku !	Aku tidak akan menyakitimu.
Aku tidak akan menyakitimu.	menjauhlah dariku !
menjauhlah dariku	wendy!
wendy!	menjauhlah . . . !
menjauhlah dariku !	Mengapa ?
tentu saja aku .	Tentu saja kamu.
secepat mungkin .	dongkrak ...
Saya . . .	saya benar-benar tidak dapat mengingatnya.
saya benar-benar tidak dapat mengingatnya.	kamu tidak dapat mengingatnya.
dongkrak !	bagaimana menurutmu ?
bawa dia keluar dari sini?	Ya .
Ya .	Maksudmu tinggal tinggalkan hotel saja?
Maksudmu tinggal tinggalkan hotel saja?	Ya .
seseorang melakukan hal itu padanya.	Menurutku, dia melakukannya pada dirinya sendiri.
dia masih tidur.	Bagus .
Kamu masuk ke ruangan yang dikatakan Danny?	ya, aku melakukannya.
ya, aku melakukannya.	dan Anda tidak melihat apa pun sama sekali?
dan Anda tidak melihat apa pun sama sekali?	sama sekali tidak ada apa-apa. bagaimana kabarnya?
apakah kamu menemukan sesuatu ?	tidak, tidak ada apa-apa sama sekali.
sudah ada ide?	banyak ide. tidak ada yang bagus.
Selamat pagi sayang. Sarapanmu sudah siap.	jam berapa sekarang ?
jam berapa sekarang ?	sekarang sekitar pukul sebelas tiga puluh.
Sempurna untuk anak-anak.	Ya .
hai sayang.	hai sayang. apa kabar?
sebaiknya aku kumpul keluargaku dulu.	Oh . . .
dapat menjadi masalah tersendiri.	bukan untukku.
mereka akan menyukainya.	Besar . . .
hanya secara sangat umum.	Sehat . . .
Ya ?	saya jack torrance.
saya jack torrance.	Baiklah, masuklah Jack.
seperti kapal hantu ya?	Ya .
Hai .	Hai .
Hai .	Apa kabarmu?
terima kasih .	terima kasih susie.
Jam berapa pesawatnya berangkat?	delapan tiga puluh .
bolehkah aku bercerita sesuatu pada kalian, anak-anak?	Tentu saja paman al.
biru . biru ini .	Yesus.
tolong paman al.	maukah kamu?
dimana ibu ?	pergi berbelanja. mengapa?
pergi berbelanja. mengapa?	jane, aku harus bicara denganmu.
ya . pergi .	Biarkan aku membantumu berdiri.
Saya mendengar suara-suara di sana.	jenis suara apa?
ada hal lain yang menakutkan.	Apa ?
untuk bercerai?	yah...itu yang ketiga.
aku melihat apa yang aku lihat.	marty bulan bahkan belum purnama!
Di sana ! kamu lihat !	Itu bisa saja sesuatu yang kejam.
apakah itu resep?	apa pentingnya itu ?
martir martir kau seharusnya mendengar dirimu sendiri!	baiklah...apakah itu resep?
ya ... tentu saja.	simpan yang ini untuk terakhir.
Tentu .	Bagus .
kamu punya lisensi pilot, marty?	apakah saya membutuhkannya?
kamu baik-baik saja marty?	Ya .
Hah ?	Bagaimana jika itu sejenis monster?
menyanyi !	apakah kamu tergoda?
ya maria ?	dia sangat baik...
biarkan jiwamu	Anda tahu apa yang kami katakan!
Anda tahu apa yang kami katakan!	biarkan jiwamu
biarkan jiwamu	Saya pikir mereka mendengarmu!
tapi bagaimana caranya ?	dengan suara yang kau dengar dari atas
dengan suara yang kau dengar dari atas	Saya rasa saya mendengarnya!
Saya rasa saya mendengarnya!	biarkan pikiranmu dibimbing
biarkan pikiranmu dibimbing	kamu tahu, aku mungkin akan melakukannya!
kamu tahu, aku mungkin akan melakukannya!	biarkan jiwamu disembuhkan
biarkan pikiranmu dibimbing	apa yang kamu katakan ?
apa yang kamu katakan ?	biarkan jiwamu disembuhkan
Apa kabarmu .	Hai saudariku. kalian mau masuk kesana?
Hai saudariku. kalian mau masuk kesana?	kamu tahu itu .
oke christy strip.	Apa ?
Apa ?	kamu bisa mengatasinya.
Sayang, apa yang terjadi di sini? Lihat kamu.	selamat malam vincent.
tidak . . . tidak apa-apa.	Ya ?
Ya ?	terima kasih banyak .
kamu sangat seksi.	...pengen
apa yang dikatakan siapa?	siapa? wanita lainnya. istrimu.
oh gadis-gadis.	ya betty ?
ya betty ?	pesta prom ini sungguh menyebalkan.
pesta prom ini sungguh menyebalkan.	Oh ya.
Oh ya.	aduh !
aduh !	apa itu betty ?
ya betty ?	dia baik sekali.
dia baik sekali.	d lang doo lang d lang .
sungguh memalukan !	tapi kemudian datanglah seorang malaikat yang membisikkan kata-kata ini
tapi kemudian datanglah seorang malaikat yang membisikkan kata-kata ini	perhatikan . .
perhatikan . .	bernyanyi dan iblis akan lari!
bernyanyi dan iblis akan lari!	apakah kamu jahat?
cepatlah saudari!	Ayo bergerak. Aku tepat di belakangmu.
apa itu mary ?	siapakah lelaki itu ?
mesin itu.	Aku tahu. Itu kuno.
hampir saja. tunjukkan padaku lagi.	kau tentu saja.
hanya bernyanyi!	menyanyi !
mobil van cartier.	kamu tau ? tentang aku ? tentang segalanya ?
dia seorang profesional.	Apa ?
putus asa aku	amatir
amatir	bayi
bayi	lagi !
itu akan menjadi neraka.	ceritakan padaku tentang hal itu.
basah di belakang telinga.	sekelompok gadis mama sejati.
apakah kamu tidak mengetahuinya!	tapi Tuhan datang padaku
tapi Tuhan datang padaku	apa yang dia katakan ?
apa yang dia katakan ?	Katanya, usir setan!
maria clarence!	semoga Tuhan memberkatimu.
lari ! lepas landas !	lagi ?
apakah kamu meninggalkan kami?	Oh tidak. Kita akan selalu bersama.
Ya Tuhan!	pengalaman !
sialan !	maria clarence!
maria clarence!	terus bergerak !
saya mendapatkan pengalaman.	kamu jaga diri kamu sendiri!
pengalaman! benar kan?	Kanan .
maria clarence!	sekarang kamu .
tiga tahun. saudara perempuan.	tiga tahun. seorang pemula.
Apa ?	aku... aku membawakanmu sesuatu.
aku... aku membawakanmu sesuatu.	sebatang rokok?
Ayo kita terlambat.	Apa? Jam berapa sekarang?
Ibu pendeta terima kasih.	Oh ?
Oh ?	Kamu menyelamatkan hidupku.
Kamu menyelamatkan hidupku.	Saya seorang Kristen.
apa yang kamu lakukan di sini ?	menyelamatkanmu. bergerak!
Tetapi . . .	selamat tinggal .
benarkah. yah itu berarti kita berdua.	Apa ?
kamu yang mengirim pesan untukku?	Anda memiliki panggilan telepon.
mary clarence mungkin anda benar.	saya ?
aku mengerti .	ayo saudari.
ini akan menjadi selmu mary clarence.	apa aku ?
apa aku ?	selmu. kamarmu.
apakah ini semua makanan yang kudapat?	ya. sampai sarapan.
tidak ada makanan?	tidak ada makanan. sampai matahari terbenam.
Diam ? Tidak bicara ? Sepanjang hari ?	sampai matahari terbenam.
Tidak masalah .	sumpah ketaatan
sumpah ketaatan	suka sama siapa ?
Hal itu telah terjadi.	Apa ?
apakah kamu berbicara tentang aku?	dan semua orang seperti Anda.
dan semua orang seperti Anda.	Maksudmu orang kulit hitam?
nona van cartier.	Apa ?
Apa ?	rokokmu padam.
duduk .	Apa ?
nama kamu ?	christy van cartier . christy van cartier .
christy van cartier . christy van cartier .	cukup bercanda.
apa yang sedang kamu lakukan ?	bahkan biarawati pun harus buang air kecil.
aku tidak bisa pergi bersamamu.	Apa ?
Vince tahu kamu di sini.	Bagaimana ?
saya juga .	kamu tidak... menemui siapa pun?
Maksudmu khawatir tentang kesaksianku?	tidak khawatir tentang Anda secara pribadi.
benarkah? letnan?	Aku khawatir padamu.
oke tidak ada limosin.	tidak, tidak ada apa-apa.
dan bagaimana jika aku tidak melakukannya?	lalu kamu lari.
Dia tidak membantumu.	Persetan denganmu!
Sungguh .	tapi tunggu.
dimana siapa ?	kamu bahkan tidak mau memberitahu kami?
kamu bahkan tidak mau memberitahu kami?	saya bahkan tidak akan memberitahukannya kepada Paus.
lalu suatu hari mereka menemukanmu.	mereka membuka jendela.
seorang biarawati?	aku katakan padamu!
tapi kamu tidak memberitahuku!	kami tidak memberitahumu apa?
joey ?	dimana dia ?
saya tidak dapat melihat apa pun di sini!	Willy menabrak lampu.
itu dia !	yang mana ?
tangkap dia !	yang mana !
Kanan .	jadi lepaskan saja.
Sehat ?	itu tidak berhasil vince.
Sudah selesai?	tidak . . . sepenuhnya .
tidak . . . sepenuhnya .	apa masalahnya ?
dan jika dia lari?	jaga itu .
Vince apakah dia... baik-baik saja?	Mungkin .
apa yang sedang dia lakukan ?	dia sedang berdoa.
kamu tidak menembak!	kamu pun tidak!
kami kedengarannya buruk, kami butuh Mary Clarence.	kita kehilangannya.
seharusnya tiba sebentar lagi.	gladi bersih pada pertunjukan keempat di . tajam.
perdamaian di bumi.	namun kita juga dapat berdoa untuk hal-hal lainnya.
suster mary patrick?	Ya ?
bukan catatan.	mustahil .
mary clarence kamu masih hidup!	christy .
adik perempuan cahaya bulan!	tapi bagaimana kita sampai ke sana?
Maksudmu mereka menculiknya?	ya dua pria dan mereka punya senjata.
tetapi ibu pendeta semua orang menyukai gaya baru kita.	itu membawa orang kembali ke gereja.
Saya lebih suka bernyanyi daripada melakukan apapun!	itu lebih baik dari es krim.
dia tidak seperti orang lain.	dia baik sekali.
dia baik sekali.	dia baik.
apakah ini seperti biara lamamu?	biara manakah suster itu?
ibu pendeta?	Ya ?
Las Vegas, dia ada di suatu tempat.	tapi dimana ?
aku berbohong.	Saya tahu .
Di mana ?	Temukan mereka!
Itulah panggilan yang kamu harapkan, Vince.	bisakah kamu menahannya? bisakah kamu mencoba?
Kamu pasti telah kehilangan sasaranmu.	Saya memukulnya tepat pada sasaran.
mereka menghabiskan dua hari dalam rantai.	dua hari...? karena pembunuhan?
kamu butuh tidur.	bawa dia.
bawa dia.	kamu butuh istirahat.
Kita pasti menjadi pemandangan yang aneh baginya.	apa yang sedang kamu mata-matai?
tidak berdarah.	apa itu ?
kenapa badannya di gerakin dokter ?	untuk menaruhnya di dalam peti matinya.
protes ke atasan saya kalau anda suka.	Atasanmu tinggal dua hari lagi!
mungkin kamu harus mengambil ini.	ide yang bagus
hmm? melihat mereka?	bolehkah kita melihatnya sekarang?
saya akan dengan senang hati melakukannya.	baiklah. kalau begitu anda dipersilakan menunggu sampai pagi.
Apa kabarmu ?	lelah .
apa sekarang ?	Saya ragu itu adalah akhir.
naik !	wanita van tassel . . .
wanita van tassel . . .	aku tahu. tunggu sebentar.
aku jadi khawatir. siapa itu?	wanita van rumbai.
wanita van rumbai.	apa yang sedang dia lakukan ?
pria atau wanita ?	Yang kulihat hanyalah lentera mereka.
Yang kulihat hanyalah lentera mereka.	bisnis yang paling tersembunyi adalah yang paling tersembunyi di malam hari.
kita harus pergi.	mengapa pohon ini?
apa itu ?	tetap di belakang.
kita berangkat .	Apa yang terjadi ?
apa itu ?	mendengarkan .
mendengarkan .	saya tidak mendengar apa pun.
Ayah bilang penyihir tinggal di sana.	penyihir tidak ada. namun...
di luar sana. apa yang kamu lihat?	hutan barat.
hutan barat.	lihat lagi .
kemana kita akan pergi ?	ke atas .
orang iseng ...	teruslah mendaki. aku akan mengikuti. . .
apa itu tadi ?	kudanya.
gereja	Dia bergerak terlalu cepat.
kemana kita akan pergi ?	aku tidak tahu. pergi.
apa yang begitu mendesak?	ikutlah denganku .
tengkoraknya sudah hilang.	Ya, saya menyadarinya, terima kasih.
Apa yang sedang kamu lakukan ?	tetaplah... di mana kamu berada.
darah .	apa katamu ?
hanya aku saja.	katrina. kenapa kamu mengikuti?
katrina. kenapa kamu mengikuti?	Saya minta maaf jika saya membuat Anda khawatir.
Apa ?	Dia bukan ibu kandungmu kan?
Orang-orang telah menaruh kepercayaannya pada Anda.	mereka tidak melakukan hal semacam itu.
terima kasih . tidak . di sini . .	Saya bersikeras agar kamu memilikinya.
orang lain ?	obrolan ringan
Anda tidak dapat membunuh apa yang sudah mati.	biarkan dia pergi !
aku tahu kamu melihatku.	Apa . . . ?
tidak. dia sudah keluar.	Di mana ?
ya sebenarnya.	gunakan dengan hati-hati.
van ripper putar balikkan kereta!	apa katamu ?
apa katamu ?	berbalik sekarang!
tidak banyak darahnya kan?	saya tidak melihat satupun.
apa. . . apa yang sedang kamu lakukan?	Tutup mulutmu! Tetap diam.
kamu dari daerah cekungan?	dengan cara tertentu iya.
berbaringlah diam ichabod. jangan bergerak.	dokter dia sudah bangun.
pulang ke rumah .	bolehkah saya melihat ibu saya?
dia telah mengaku.	TIDAK .
Ya, mereka baik-baik saja.	kamu punya uang?
bagaimana denganmu jerry.	apa kabar bill?
bisakah saya menemuinya?	Tentu .
apakah anda sudah memutuskan, tuan?	apa yang kamu punya yang enak untuk dimakan?
apa yang kamu punya yang enak untuk dimakan?	Baiklah, kukira semuanya baik-baik saja.
Baiklah, kukira semuanya baik-baik saja.	apa yang kamu suka makan disini ?
baiklah, apa yang kamu inginkan?	Anda punya biskuit untuk dijual?
Anda punya biskuit untuk dijual?	Tidak, kami tidak punya biskuit.
meninggalkan .	jangan katakan padaku apa yang harus kulakukan.
jangan katakan padaku apa yang harus kulakukan.	meninggalkan .
meninggalkan .	jangan katakan padaku apa yang harus kulakukan.
jangan katakan padaku apa yang harus kulakukan.	meninggalkan .
meninggalkan .	jangan katakan padaku apa yang harus kulakukan.
jangan katakan padaku apa yang harus kulakukan.	meninggalkan .
meninggalkan .	jangan katakan padaku apa yang harus kulakukan.
kau tahu apa demi Tuhan?	Apa ?
Apa ?	kamu tahu apa yang harus kita lakukan malam ini?
kamu tahu apa yang harus kita lakukan malam ini?	tolong doyle jangan.
Tentu saja, saya kira begitu.	jangan terburu-buru, sayang.
ya pak.	aku punya firasat hari ini.
aku punya firasat hari ini.	kira-kira seperti apa ya rasanya?
tidak, tuan.	itu menyenangkan kok.
kamu akan? tentu saja?	Ya .
Apa maksudmu ?	tarik ke atas karya-karyamu . bagian pribadimu .
tarik ke atas karya-karyamu . bagian pribadimu .	Oh, berhenti main?
kenapa tidak? itu sudah mati?	Ya .
Ya .	Mengapa ?
itu hidup?	Ya, Tuan. Benar sekali.
Ya, Tuan. Benar sekali.	laki-laki atau perempuan ?
laki-laki atau perempuan ?	seorang anak laki-laki kecil yang tua.
Hai Karl, kamu libur kerja?	Ya .
Ya .	dimana kamu mendapatkan bunga itu?
kamu mau pergi denganku ?	Ya .
Menurutku rasanya cukup enak.	aku suka cara kamu berbicara.
aku suka cara kamu berbicara.	aku suka cara kamu berbicara.
Ya, aku melakukannya.	siapa yang kamu bunuh?
siapa yang kamu bunuh?	dua orang.
dua orang.	apakah mereka orang jahat?
apakah mereka orang jahat?	Saya pikir begitu.
Saya pikir begitu.	mungkin mereka membutuhkannya.
Ya, benar. Namamu Frank.	Ya. Apa yang kamu lakukan di sini?
Ya. Apa yang kamu lakukan di sini?	kamu menyuruhku untuk datang.
kamu menyuruhku untuk datang.	apakah kamu ingin bermain bola dengan kami?
tidak punya tempat untuk meletakkannya.	tidakkah kamu tinggal di suatu tempat?
tidakkah kamu tinggal di suatu tempat?	Saya tinggal di rumah sakit negara.
Saya tinggal di rumah sakit negara.	kenapa kamu tinggal disana ?
mereka membiarkanmu keluar?	Ya .
Ya .	kok bisa ?
apakah kamu baik-baik saja ?	Saya rasa saya merasa baik-baik saja.
aku tahu dia melakukannya.	ibu ?
ibu ?	Hah ?
Hai ibu. Hai Vaughan.	Hai sayang. Apa kabarmu?
Kamu berjalan cepat bukan?	Saya kira.
aku anakmu.	aku tidak punya anak laki-laki.
ya pak.	apakah mereka tahu tentangmu?
apakah mereka tahu tentangmu?	sejarah saya.
sejarah saya.	Ya .
ya pak.	Baiklah, kurasa sebaiknya kita berangkat saja.
Karl, kamu sudah bangun?	ya pak.
lebih baik kamu pergi ambil barang-barangmu.	Aku tidak punya apa pun kecuali buku-buku itu.
Aku tidak punya apa pun kecuali buku-buku itu.	Lebih baik kamu pergi mengambilnya.
Lebih baik kamu pergi mengambilnya.	Baiklah kalau begitu.
Ibu?	Ya .
menurutku mustardnya enak.	Oke .
Kamu membuatku takut.	aku tidak bermaksud untuk itu.
Saya rasa tidak.	homoseksual. saya suka pria. secara seksual.
homoseksual. saya suka pria. secara seksual.	tidak lucu ha ha lucu aneh.
ya pak.	jadi kamu benar-benar akan tinggal di sini?
jadi kamu benar-benar akan tinggal di sini?	Anak laki-laki itu menginginkanku untuk...
Anak laki-laki itu menginginkanku untuk...	apakah kamu sudah mengetuk pintunya?
apakah kamu sudah mengetuk pintunya?	tidak, aku tidak.
tidak, aku tidak.	Sudah berapa lama kamu berdiri di sini?
Sudah berapa lama kamu berdiri di sini?	cukup mantra menurutku.
Saya baru saja melakukannya beberapa saat yang lalu.	Maksudku besok atau lusa.
apa yang membawamu kembali ?	apa yang kamu katakan ?
apa yang kamu katakan ?	mengapa kamu ada disini sekarang ?
mengapa kamu ada disini sekarang ?	mereka melepaskan saya dari rumah sakit negara.
apakah kamu punya keluarga di sini?	tidak benar-benar perlu dibicarakan.
vaughan jangan memaksa.	saya minta maaf .
dia baru saja keluar dari rumah sakit negara.	Saya tahu .
tidak, kita harus mendapatkan cerita ini.	Saya pikir kamu akan senang untuk pergi.
Saya pikir kamu akan senang untuk pergi.	mengapa dia tidak mau bicara pada wanita?
apakah kamu mencium bau kotoran?	Ya .
dan apa kesempatan perayaan ini?	Ini hari ulang tahunku.
Itulah pokok bahasan bab terakhirku.	bukan buku yang mudah.
itu bayar tunai atau bayar di tempat?	lebih baik membuatnya terisi daya.
dan bagaimana dengan Anda?	Hah ?
Hah ?	Bagaimana denganmu?
Apa maksudmu ?	Maksudku, itu cerita yang bagus.
dia mungkin sudah meninggal.	ya mungkin saja.
Jadi. apakah kita siap?	siap.kapan pun Anda siap.
siap.kapan pun Anda siap.	aku mendengarkan semuanya.
dua kan?	eh lebih baik jadikan satu.
eh lebih baik jadikan satu.	Anda biasanya mendapatkan dua.
Hai kawan, apa kabar?	hai auggie.
dia gila.	Tidak, dia bukan. Kamulah.
sepertinya seseorang lupa membawa kamera.	Ya, aku melakukannya.
Ya, aku melakukannya.	itu milikmu?
lima ribu dolar.	dan kau memberikannya padaku?
dan kau memberikannya padaku?	itu semua milikmu, sayang.
itu semua milikmu, sayang.	untuk terus?
untuk terus?	untuk tetap .
pengganggu untukmu.	tidak ada pengganggu untukmu.
tunggu sampai kamu melihatnya auggie.	dan apa maksudnya itu?
dan apa maksudnya itu?	Dia tampak seperti kamu.
membukanya .	apa ini semacam lelucon?
apa ini semacam lelucon?	tidak, itu lima ribu dolar.
Apa kabarmu di sana Jimmy?	auggie bagus. sangat bagus. semuanya selesai.
auggie bagus. sangat bagus. semuanya selesai.	itu tidak akan pernah selesai.
itu tidak akan pernah selesai.	Hah ?
apakah nama anda paul benjamin?	apa yang dapat saya lakukan untuk anda ?
Saya mencari keponakan saya Thomas.	Thomas ? Siapa Thomas ?
dan kamu menceritakan hal itu pada keponakanmu?	Saya pikir dia berhak tahu.
Saya pikir dia berhak tahu.	Dan ?
Hai adik kecil.	sampaikan salamku pada paul.
Sehat ?	baiklah apa?
baiklah apa?	kamu tidak akan mengatakan apa pun?
kamu tidak akan mengatakan apa pun?	apa yang kamu ingin aku katakan ?
Ya ? Siapa itu ?	Ini aku sayang. Ini ibu.
Hai Jimmy. Kamu ada waktu?	Hah ?
Hah ?	Kamu masih menyimpan jam tangan yang diberikan Auggie?
Kamu masih menyimpan jam tangan yang diberikan Auggie?	tik tok tik tok .
tik tok tik tok .	Jadi jam berapa sekarang?
Jadi jam berapa sekarang?	dua belas sebelas . dua belas dua belas . dua belas dua belas . dua belas dua belas .
Sehat ?	Itu bukan salahku.
Ya, aku mengambilnya.	dan mulai berlari.
dan mulai berlari.	dan mulai berlari.
dan mulai berlari.	pemikiran yang bagus.
aku tidak tahu .	apakah itu milikmu ?
apakah itu milikmu ?	ya mungkin saja.
ya mungkin saja.	sini tangkap.
Sudah berapa lama kamu di sini ?	tiga malam.
jam berapa sekarang ?	delapan tiga puluh .
delapan tiga puluh .	delapan tiga puluh ?
menggambar adalah suatu hal yang baik.	Apakah itu yang kamu lakukan? menggambar?
oh tidak. momsie dan popsie punya banyak sekali.	dan dimana momsie dan popsie tinggal?
dan dimana momsie dan popsie tinggal?	jalan timur tujuh puluh empat.
jalan timur tujuh puluh empat.	di manhattan?
di manhattan?	Tentu saja. Ke mana lagi?
disitulah apa yang terjadi.	apa ?
aku berutang sesuatu padamu.	Tidak apa-apa Tuan. Bukan masalah besar.
Kamu ingin memasaknya dalam keadaan bagaimana?	setengah matang ya.
setengah matang ya.	kentang goreng?
kentang goreng?	ya silahkan.
ya silahkan.	selada dan tomat?
selada dan tomat?	ya silahkan.
ya silahkan.	Anda juga ingin satu lagi seperti ini?
aku tidak tahu .	kamu tidak.
apakah itu pertanyaan ketiga Anda?	dia .
dia .	Kamu sudah melakukan perhitungan dengan benar.
Anda menyiratkan bahwa...	Saya bilang. Tidak ada pertanyaan lebih lanjut.
kami mendiskusikannya . dan memutuskan untuk tidak melakukannya .	mengapa tidak ?
Suamimu pulang jam tujuh berapa?	mendekati angka delapan.
ibuku..akan menjadi masalahnya.	kenapa? kita hanya bicara.
tamak .	dia tidak ingin kehilangan lagi.
Kamu akan memanjatnya dengan satu tangan?	kamu benar. sebaiknya aku menggunakan dua.
di sini sekarang apa yang akan kamu lakukan?	melihat . tidak melihat apa pun .
Anda bilang tiga menit.	tidak akan memakan waktu dua.
rokok ?	Aku ambil dua, satu untuk nanti.
saat itulah dia terjatuh.	menjatuhkan .
Ayahmu adalah orang yang cukup baik.	ya, dia memang begitu.
Anda selalu berlari dengan sumur terbuka?	saya sedang memeriksa kabelnya.
kamu ingin aku mengatakan itu.	aku ingin kamu mengatakan kebenaran.
kamu pasti mengira aku suka kalah.	Saya pikir kamu suka belajar.
apa kabar ibu mertuamu?	Dia baik-baik saja, nels. Terima kasih sudah bertanya.
saya kira tidak demikian .	kamu tidak. kamu pikir begitu.
tidak ada cadangan.	TIDAK .
dia tidak punya alasan untuk melakukannya.	carl pernah bilang kan kamu punya satu?
carl pernah bilang kan kamu punya satu?	Saya tidak dapat berbicara mewakilinya.
apakah ini tasmu?	ya. dan itu juga.
ya. dan itu juga.	oke boneka.
oke boneka.	Saya kira Anda ingin mendapat tip?
ingin melihat SIM saya?	mau tersesat ya?
Maafkan saya.	Baiklah gadis-gadis dari atas lagi.
apa ?	koper saya berisi semua pakaian resor saya.
terima kasih banyak.	Terima kasih kembali .
Terima kasih kembali .	Itu sepenuhnya saling menguntungkan.
gula ?	berikan aku kamar.
berikan aku kamar.	apa yang menurutmu sedang kamu lakukan?
Diam dan terus berkemas.	Oke joe.
joe	Apa ?
Itu berani sekali!	daphne mendapat lamaran malam ini.
hai jerry. semuanya terkendali?	ada hal yang harus aku ceritakan padamu!
ada hal yang harus aku ceritakan padamu!	Apa yang terjadi ?
Apa yang terjadi ?	saya bertunangan.
saya bertunangan.	Selamat. Siapa gadis yang beruntung itu?
Selamat. Siapa gadis yang beruntung itu?	saya .
saya .	Apa ?
kamu pikir dia terlalu tua untukku?	Jerry! Kamu tidak serius!
jerry ada masalah lagi.	seperti apa ?
seperti kapan?	seperti tepat setelah upacara.
seperti tepat setelah upacara.	Oh .
dan dimana dia akan berada?	Dia akan berada di darat bersamamu.
Dia akan berada di darat bersamamu.	dengan saya ?
dengan saya ?	itu benar .
itu benar .	Oh tidak! Tidak malam ini Josephine!
Anda tahu permainan cangkang lama.	daphne, kamu mengganggu kami.
selamat malam daphne.	selamat malam josephine.
lewat sini daphne.	sekarang kamu merobek yang satu lagi.
sekarang Anda sudah melakukannya!	sudah melakukan apa?
Sebaiknya kamu memperbaikinya.	lebih baik kamu datang membantuku.
nama saya josephine.	dan aku daphne.
kita lari kemana joe?	sejauh mungkin.
Menurutku, mereka menangkapku.	mereka mendapat biola banteng.
mereka mendapat biola banteng.	Anda tidak melihat darah?
Nellie menceritakan hal itu pada kami.	Kita tidak terlambat kan?
ya dimana kamu?	denganmu .
denganmu .	dengan saya ?
kamu benar joe.	tentu saja aku .
tidak, kami tidak.	kita tidak?
kamu menyukainya ?	aku selalu melakukannya.
TIDAK !	Ya .
Yusuf	Kurasa dia tidak ada di sini.
ya. ini untuk ripley.	Menurutmu apakah dia pergi berbelanja?
kita tidak harus lari.	Oh ya, kami melakukannya!
Maksudku bahumu dan lenganmu	itu dari membawa biola banteng.
Aku akan membawa alat-alatnya.	terima kasih daphne.
bukan kamu, gula.	Aku akan mengambil es saja.
apa kejutannya ?	uh uh. belum.
uh uh. belum.	Kapan ?
Kapan ?	sebaiknya kita minum dulu.
kamu baik-baik saja ?	saya baik-baik saja .
saya baik-baik saja .	bagaimana botolnya?
bagaimana botolnya?	setengah penuh .
apa katamu ?	aku seorang gadis yang sangat sakit.
aku tidak sesakit itu.	Saya memiliki resistansi yang sangat rendah.
menarik .	ada yang salah ?
ada yang salah ?	tidak tidak.
Itu konyol.	dan kepalamu panas.
dan kepalamu panas.	Itu konyol.
Itu konyol.	dan Anda jadi takut.
dan Anda jadi takut.	bukankah itu konyol?
dan itu salah satunya.	sssh .sayang sekali .
jika ada sesuatu yang bisa saya lakukan untuk anda	oh aku bisa memikirkan sejuta hal
selamat malam gula.	selamat malam sayang.
selamat malam sayang.	sayang dia memanggilku sayang.
aku akan katakan.	sampai jumpa gadis-gadis.
Oh !	sangat menyesal.
akulah itu.	apa ide besarnya?
ya. selama setahun penuh.	Saya pikir Anda mengatakan tiga tahun.
dimana kalian bermain sebelumnya?	oh di sini dan sana dan sekitar.
kita bisa lolos begitu saja.	kamu harus berambut pirang
dan kalian harus menjadi gadis.	kita bisa
ada apa dengan kita ?	Kamu salah bentuk. Selamat tinggal.
ini tentang pekerjaan di Florida.	pekerjaan florida?
aku memaafkanmu.	dan aku tidak akan pernah bisa punya anak.
dan aku tidak akan pernah bisa punya anak.	kami akan mengadopsi beberapa.
Senang bertemu dengan Anda.	ayo !
...kembali ...	ya baiklah ?
ya baiklah ?	Kamu memimpin lagi.
Kamu memimpin lagi.	Maaf .
WHO ?	tentang rumah makan itu
tolong. itu tidak akan terjadi lagi.	Tidak terima kasih. Aku akan berjalan.
selamat tinggal tuan fielding	selamat tinggal ?
selamat tinggal ?	di sinilah aku turun.
di sinilah aku turun.	Oh, kau tak akan lolos semudah itu.
